"","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHT","MARHYP","MIG","NWAB","NWLA","NWLK","SCH","SCHG","SCHL","SEX","WAGP","WKHP","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MIGPUMA","MSP","NATIVITY","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","SCIENGP","SCIENGRLP","WAOB","Class"
"2741","806",149,"5","0","1","1","2","0","1","2","2","2",20,1,"1","1","1","1","2","1","3","3","3","1","0","22","2",117000,43,"1","3","2","370","336","7","1","1","2190","85","1170","0","1","2","1430","1",117000,137050,"301","2","800","1","2","4","9","9000","38","0","1","2","1","0","1","2","7",0
"2742","613",44,"1","0","1","0","2","0","1","2","2","2",0,0,"11","2","5","0","0","1","3","3","3","3","15","19","2",10000,10,"1","0","2","51","50","0","0","1","7870","0","9999","0","6","1","2634","0",10000,10000,"33","0","600","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2743","804",71,"2","0","0","4","0","0","2","2","1","1",0,0,"0","1","5","0","0","1","2","2","2","1","0","7","2",0,0,"2","3","2","200","599","5","0","6","9920","0","1200","0","6","1","9920","4",0,10000,"72","1","0","2","1","4","9","9000","62","0","1","3","1","1","0","0","2",0
"2744","703",67,"1","0","1","1","0","2","2","1","2","2",60,1,"1","1","5","0","0","1","2","2","2","1","0","21","1",12000,20,"1","0","1","50","999","0","1","1","4971","85","1200","0","6","1","4760","0",12000,12000,"25","1","600","1","2","1","1","1000","1","0","0","1","0","1","2","2","1",0
"2745","1201",51,"1","0","6","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","1","2","3","1","0","23","1",32000,15,"2","0","1","88","999","0","0","2","5371","0","9999","0","1","1","2100","0",72000,122000,"48","2","0","1","1","4","1","1000","1","0","0","1","0","1","1","2","1",0
"2746","503",82,"1","0","3","0","0","0","1","2","2","2",5,1,"1","2","2","1","2","1","3","3","3","1","0","20","2",64000,40,"1","0","2","50","82","0","1","1","9370","55","9999","0","3","1","5000","4",64000,64000,"25","1","500","1","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
"2747","301",37,"2","0","1","1","0","0","1","2","2","2",25,0,"2","1","1","2","2","1","3","3","3","1","0","22","1",58000,40,"1","3","1","261","999","7","0","1","3590","55","1200","0","1","1","1555","0",58000,58000,"72","2","290","1","2","4","9","9000","29","0","0","2","1","1","2","2","2",0
"2748","606",99,"1","0","1","0","0","0","1","2","2","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","21","1",85000,45,"1","0","1","998","999","0","0","1","4470","0","9999","0","1","1","5600","0",85000,85000,"25","1","600","1","2","3","1","1000","1","0","0","1","0","1","2","2","1",0
"2749","1103",62,"1","0","7","0","0","0","2","2","2","1",0,0,"0","2","5","0","0","1","2","2","2","3","15","19","1",800,10,"2","0","1","706","999","0","0","6","8680","0","9999","0","6","1","4110","0",800,800,"33","1","0","2","1","2","6","4000","5","1","0","1","0","0","0","0","1",0
"2750","501",60,"1","0","1","0","0","0","1","2","2","2",20,1,"1","2","3","1","2","1","3","3","3","1","0","20","2",46500,40,"1","0","2","935","88","0","1","1","4170","43","9999","0","4","1","5710","4",46500,46500,"25","1","600","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2751","1003",61,"1","0","2","0","0","0","2","2","2","1",10,1,"1","2","5","0","0","1","3","3","3","1","0","19","1",65000,40,"0","0","4","999","999","0","1","1","7870","49","9999","0","6","1","1031","0",65000,65000,"25","1","1000","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2752","401",169,"2","0","0","0","0","0","2","2","1","2",0,0,"0","2","2","1","2","1","2","2","2","1","0","16","1",0,0,"2","3","1","261","999","8","0","6","9920","0","9999","0","3","1","9920","0",0,0,"72","1","0","2","1","3","9","9000","29","0","0","2","1","1","0","0","2",1
"2753","507",45,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","1","2","2","1","2","2","2","1","0","16","2",0,0,"2","0","1","26","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,11000,"33","1","0","2","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"2754","801",67,"1","0","1","0","2","0","2","2","2","2",30,1,"1","2","5","0","0","3","3","3","3","1","0","21","2",75000,40,"1","0","4","999","999","0","1","1","7490","106","9999","3","6","1","51","4",75000,75000,"44","1","500","2","2","1","1","1000","1","0","0","1","0","1","2","2","1",0
"2755","611",51,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","5","0","0","1","2","2","2","1","0","21","1",0,0,"2","0","2","88","22","0","0","6","9920","0","9999","0","6","1","9920","0",0,18700,"37","1","0","2","1","2","1","1000","1","0","0","1","0","1","1","2","1",0
"2756","1102",66,"4","2","4","2","0","0","1","2","2","1",60,1,"1","1","1","2","2","1","3","3","3","3","16","22","1",144000,40,"1","3","1","336","999","7","1","1","9570","147","1055","0","1","2","9130","0",144000,144000,"332","1","800","1","1","2","2","3000","2","0","1","1","0","0","2","2","3",0
