"","RT","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","HICOV","HISP","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","WAOB","Class"
"1901","P","1",2,"1301","1","25","1019518",93,"1","1","2","1","1","1","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","6100","0","3","12","0","1","0","0",0,40,"52","2","2","50","84","6","1","1","7860","6","1","1","3255",0,6100,"25",83,"600","25","1","1","3","1","1000","1","0","0","0","0","1","0","0","1","1","1","No"
"1904","P","1",1,"100","1","25","1019518",46,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1989,"1","4","3","5","3","3","3","0","0","0","1","16","0","1","0","0",74000,45,"52","1","1","50","999","1","1","1","7770","1","1","0","4210",74000,74000,"25",450,"100","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1906","P","1",2,"403","1","25","1019518",74,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1987,"1","4","2","5","2","2","3","0","0","12000","1","16","0","2","0","0",0,40,"52","2","2","431","26","6","1","1","7860","1","1","0","3255",0,12000,"25",257,"600","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1907","P","1",2,"606","1","25","1019518",101,"1","1","2","2","2","1","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"3","4","3","5","3","3","3","0","0","0","1","18","0","2","0","0",20000,40,"52","1","2","51","46","1","1","1","5382","6","1","0","4760",20000,20000,"25",298,"600","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1908","P","1",1,"1004","1","25","1019518",35,"1","1","2","0","2","2","1","1","2","2","2","40","1","2","3","2","2","1","2",1975,"1","4","2","5","2","2","3","0","0","0","1","16","0","2","0","14300",0,40,"52","2","1","510","999","6","1","1","7860","4","1","0","3255",0,14340,"25",101,"600","25","2","1","1","9","9000","38","0","0","1","0","2","0","1","0","0","1","No"
"1910","P","1",2,"706","1","25","1019518",111,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","2000","0","0","2","12","0","2","0","0",0,40,"52","1","2","360","939","1","1","1","7860","6","1","1","3255",18000,2000,"25",501,"600","25","1","2","4","9","9000","29","0","0","0","0","2","0","1","1","1","1","No"
"1912","P","1",1,"503","1","25","1019518",42,"1","7","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1997,"1","4","2","3","2","1","3","0","0","0","1","16","0","1","0","0",67000,45,"52","2","1","939","999","6","1","1","7770","1","1","0","4251",67000,67000,"25",285,"600","25","1","2","1","9","9000","17","1","0","0","0","2","0","0","1","0","1","No"
"1913","P","1",1,"403","1","25","1019518",45,"1","1","2","0","2","2","1","2","2","2","2","0","1","2","1","2","2","1","2",1993,"1","4","2","5","2","2","3","0","0","0","1","22","0","1","0","0",0,40,"52","2","1","142","999","6","1","1","7860","2","1","0","3255",0,0,"25",0,"600","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1915","P","1",1,"705","1","25","1019518",138,"1","1","2","0","2","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","1","21","0","1","0","0",0,40,"52","2","4","999","999","6","1","1","7680","6","1","0","3930",0,0,"25",0,"600","25","2","1","1","8","8000","15","0","0","0","0","1","0","1","0","0","1","Yes"
"1916","P","1",3,"906","1","25","1019518",50,"1","1","2","0","2","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","3","3","0","0","0","1","17","0","2","0","0",0,40,"52","2","2","935","87","6","1","1","7860","6","1","0","3255",0,0,"44",501,"600","25","2","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
