"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"965",801,23,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,21,1,0,40000,1,750,999,1,6,1,40000,6,1,2,3,6,4003,8,1,0,1,0,0,1,"0"
"966",904,71,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,0,2,14,2,0,440,2,50,939,6,6,1,440,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"967",301,116,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,17,2,0,0,4,999,999,6,1,1,0,9,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"969",905,45,1,0,2,2,1,2,2,0,2,1,1,4,2,3,2,2,0,1,23,1,35000,0,2,142,148,6,1,1,35000,36,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"972",802,75,5,0,2,2,2,2,2,0,1,5,1,4,3,5,3,3,0,1,1,1,0,20800,1,291,999,1,6,2,20800,312,2,2,4,8,8000,15,0,0,1,1,0,3,"0"
"973",607,77,1,0,1,2,1,2,2,0,2,1,1,4,3,5,3,3,0,3,19,2,14400,3000,4,999,999,1,1,1,17400,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"975",704,89,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,0,2,12,1,19000,8000,2,998,26,1,6,1,27000,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"976",606,57,1,2,2,1,1,2,2,1500,2,1,1,4,2,1,2,2,7000,1,19,2,23000,0,1,924,999,6,1,1,31500,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"977",704,115,5,0,2,2,1,1,2,0,1,1,3,4,3,5,3,3,0,1,16,1,0,6300,1,275,999,1,1,2,6300,329,2,1,1,8,8000,15,0,0,1,1,0,3,"0"
"978",701,75,1,0,2,2,2,1,2,0,2,1,1,4,3,5,3,3,0,1,16,2,0,42000,2,142,26,1,1,1,42000,25,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
