"SPORDER","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
2,504,0.355234351758068,5,0,1,2,1,1,2,-0.134550377530303,2,1,1,4,2,5,2,2,0.724450194795024,1,16,1,-0.451796206396106,-0.606111435888042,1,50,999,6,1,2,-0.563466245676161,119,1,1,1,1,1000,1,0,0,1,0,1,5,0
2,507,-0.951292342597405,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,3,16,1,-0.451796206396106,-0.59996781575556,4,999,999,1,6,1,-0.730335700172415,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
2,507,-0.397008290446599,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,1,1,1,-0.27456392637561,1,21,2,-0.451796206396106,3.08006064360156,2,142,50,3,1,1,2.62385232812476,34,1,2,4,1,1000,1,0,0,1,0,1,1,0
6,602,-0.806122709891242,5,0,1,2,2,2,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,19,2,-0.451796206396106,-0.237494227939082,4,999,999,1,2,2,-0.399956578854329,206,1,2,4,6,4007,10,1,0,1,0,0,4,0
2,806,0.803940489213483,5,0,1,2,2,2,2,-0.134550377530303,1,1,3,4,2,1,2,1,-0.27456392637561,1,21,2,-0.451796206396106,0.745484993258144,1,210,999,3,1,2,0.495986800991328,303,1,2,4,1,1000,1,0,0,1,0,1,3,0
2,802,-0.542177923152762,1,2,2,1,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,21,1,-0.451796206396106,-0.114621825289429,2,46,50,1,6,1,-0.287963656373622,9,1,2,3,1,1000,1,0,0,1,0,1,1,0
2,100,-0.397008290446599,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,16,1,-0.451796206396106,-0.237494227939082,1,925,999,1,1,1,-0.399956578854329,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
1,904,-0.990884060608177,1,0,2,2,1,2,2,-0.134550377530303,2,1,3,4,3,5,3,3,-0.27456392637561,1,16,2,1.05431668209772,-0.606111435888042,4,999,999,6,2,1,-0.581385113273075,25,2,1,4,1,1000,1,0,0,1,0,1,1,1
2,1103,1.42421073804891,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,16,2,-0.451796206396106,0.0819740189500163,1,935,999,1,1,1,-0.10877498040449,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
3,802,-0.726939273869698,1,0,2,2,2,1,2,-0.134550377530303,1,5,1,4,2,5,2,2,-0.27456392637561,3,21,2,-0.451796206396106,-0.606111435888042,1,706,999,6,6,1,-0.73593534629645,25,2,1,1,6,4000,5,1,0,1,0,0,1,0
1,1104,-0.304627615088131,1,2,2,1,2,2,2,-0.134550377530303,2,3,1,4,3,5,3,3,-0.27456392637561,1,16,2,-0.451796206396106,-0.237494227939082,4,999,999,1,4,1,-0.399956578854329,25,1,2,4,1,1000,1,0,0,1,0,1,1,0
1,1002,-0.0142883496758035,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,2,1,2,1,-0.27456392637561,1,21,2,-0.451796206396106,8.17926535356217,1,50,999,1,1,1,7.27155861107411,25,1,2,2,1,1000,1,0,0,1,0,1,1,0
2,805,-0.581769641163534,5,0,2,2,2,1,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,16,1,-0.451796206396106,0.253995382659531,1,50,999,1,6,2,0.0480151110684995,119,2,1,4,1,1000,1,0,0,1,0,1,5,0
2,603,-0.331022093761979,4,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,3,21,1,-0.451796206396106,0.315431583984358,3,995,999,1,1,2,0.104011572308853,332,1,2,3,8,8000,15,0,0,1,1,0,3,0
